assembly	Aquaporin	Cell wall / glycoside hydrolase	Chaperone / heat shock	Chromatin / histone	Cytochrome P450	DNA repair / recombination	DNA replication	Glycosyltransferase / UGT	Helicase	Hormone: ABA / PP2C	Hormone: GA / DELLA	Hormone: JA / TIFY	Hormone: auxin	Immunity: LRR (receptor/adaptor)	Immunity: NLR (NBS-LRR)	Immunity: PR / defense protein	Immunity: peroxidase / ROS	Immunity: receptor kinase	PPR (organelle RNA editing)	Protein kinase (catalytic)	RNA binding / processing	TF: AP2/ERF	TF: C2H2 zinc finger	TF: GRAS	TF: MADS-box	TF: MYB	TF: NAC	TF: WRKY	TF: bHLH	TF: bZIP	TF: heat shock factor	TF: homeobox / HD-ZIP	Terpene synthase	Transporter: ABC	Transporter: MFS / sugar / nitrate	Ubiquitin / proteolysis
Zm-CML530-REFERENCE-HiLo-1.0	49	921	517	507	365	100	233	392	589	129	81	48	108	743	166	188	187	289	580	1790	856	254	264	83	94	602	198	148	251	139	33	86	55	191	284	2830
Zm-CML69-REFERENCE-NAM-1.0	48	923	524	503	355	99	245	382	597	124	76	42	111	738	151	177	188	295	573	1792	944	245	261	82	84	569	188	148	261	150	34	89	57	174	273	2787
Zm-HP301-REFERENCE-NAM-1.0	49	932	503	496	359	89	242	392	569	137	79	47	97	711	137	175	184	273	578	1781	888	247	263	80	84	569	193	150	255	148	32	77	58	170	273	2755
Zm-Il14H-REFERENCE-NAM-1.0	51	918	507	504	374	88	225	376	621	133	80	39	99	730	134	186	182	292	568	1776	883	255	258	81	89	563	193	144	255	141	33	81	74	188	277	2762
Zm-Ki11-REFERENCE-NAM-1.0	52	926	531	499	349	111	257	377	617	123	81	54	105	730	146	181	177	281	593	1768	974	253	260	77	90	595	197	148	247	143	33	82	54	177	287	2779
Zm-Ki3-REFERENCE-NAM-1.0	52	929	500	510	359	86	246	404	596	130	79	43	99	730	150	182	179	279	577	1823	893	248	259	79	89	588	190	144	252	145	33	77	54	170	274	2776
Zm-Ky21-REFERENCE-NAM-1.0	46	948	492	495	340	99	246	380	620	131	80	45	106	729	149	173	179	297	586	1817	867	256	260	81	88	578	196	145	254	149	36	85	51	179	273	2786
Zm-M162W-REFERENCE-NAM-1.0	53	928	512	490	358	96	250	377	636	131	80	43	105	744	149	188	188	289	587	1745	891	256	259	84	89	567	203	146	254	146	32	86	60	180	285	2759
Zm-M37W-REFERENCE-NAM-1.0	47	922	520	507	352	92	247	379	574	129	82	52	103	751	163	190	183	288	577	1798	870	257	255	86	87	586	195	144	255	136	36	83	54	186	283	2763
Zm-Mo18W-REFERENCE-NAM-1.0	49	913	512	495	353	93	259	370	588	126	77	41	105	741	134	178	180	288	586	1767	895	251	260	81	93	588	195	145	258	140	34	84	59	177	286	2768
Zm-Ms71-REFERENCE-NAM-1.0	49	920	516	519	360	96	267	389	586	139	80	53	105	728	139	186	192	289	590	1801	877	240	256	82	99	596	194	152	268	146	35	84	63	179	278	2836
Zm-NC350-REFERENCE-NAM-1.0	47	921	509	492	367	100	238	382	635	129	78	47	114	758	166	181	183	275	581	1801	932	247	265	78	98	589	191	147	261	148	34	86	64	174	289	2761
Zm-NC358-REFERENCE-NAM-1.0	51	913	508	506	349	95	246	381	598	126	79	47	109	751	158	177	189	277	590	1803	944	255	262	80	88	576	192	148	260	142	34	83	55	174	279	2771
Zm-Oh43-REFERENCE-NAM-1.0	52	943	504	505	350	111	247	385	633	132	81	46	112	742	151	173	182	285	580	1793	937	250	259	90	90	593	195	149	253	149	33	79	59	172	285	2784
Zm-Oh7B-REFERENCE-NAM-1.0	49	900	524	510	359	99	261	380	622	136	77	45	104	724	143	176	186	293	594	1803	883	252	257	86	93	584	190	146	258	149	32	83	54	185	290	2792
Zm-P39-REFERENCE-NAM-1.0	53	933	505	499	371	94	254	379	633	129	77	41	97	712	140	181	183	293	573	1795	941	259	265	83	89	560	191	147	256	142	31	93	52	188	284	2748
Zm-PDJ-REFERENCE-HiLo-1.0	51	961	517	504	351	99	256	375	603	133	82	45	106	720	155	177	187	294	576	1821	900	255	257	94	89	583	189	149	259	145	33	78	51	185	287	2829
Zm-PT-REFERENCE-HiLo-1.0	51	911	524	488	338	108	273	372	629	135	79	45	98	742	148	184	176	302	567	1792	868	246	263	79	92	577	195	148	263	137	32	84	53	196	291	2789
Zm-TAB-REFERENCE-HiLo-1.0	49	890	516	498	362	100	247	396	616	125	76	42	102	717	145	182	182	300	571	1809	889	251	269	86	89	599	189	146	257	146	33	89	62	175	281	2746
Zm-Tx303-REFERENCE-NAM-1.0	52	932	512	501	350	98	253	394	584	129	77	46	102	712	140	183	179	275	591	1794	924	247	273	80	86	580	194	143	257	151	35	84	55	158	289	2793
Zm-Tzi8-REFERENCE-NAM-1.0	53	914	519	509	361	106	266	387	636	133	80	40	102	740	147	196	186	292	604	1823	942	256	260	79	91	574	186	153	262	147	32	83	61	184	293	2795
Zm-ZAP-REFERENCE-HiLo-1.0	60	906	516	501	341	95	248	378	573	129	74	44	103	722	145	178	189	283	573	1784	870	250	259	85	87	568	186	148	248	138	33	83	53	177	278	2778
Zn-PI615697-REFERENCE-PanAnd-1.0	57	1107	628	588	408	121	347	456	938	144	96	46	111	907	214	210	200	365	700	2026	1450	289	317	94	114	639	217	167	282	161	36	98	68	233	308	3200
Zv-TIL01-REFERENCE-PanAnd-1.0	50	935	522	508	354	100	272	395	643	135	75	42	98	746	164	186	182	312	594	1806	933	256	271	89	91	585	209	147	260	140	35	83	52	180	295	2797
Zv-TIL11-REFERENCE-PanAnd-1.0	45	931	513	501	353	104	267	376	605	127	76	40	99	754	158	173	183	299	591	1750	851	251	264	85	85	574	187	148	261	139	34	90	58	184	277	2774
Zx-TIL18-REFERENCE-PanAnd-1.0	51	919	486	486	357	85	227	392	569	139	68	42	97	718	140	183	179	288	584	1712	856	253	268	85	89	583	182	153	273	138	35	86	57	167	281	2752
Zx-TIL25-REFERENCE-PanAnd-1.0	46	889	498	508	350	97	242	380	572	125	84	41	99	733	155	180	188	274	573	1697	855	250	263	81	90	581	191	153	267	140	36	83	52	172	275	2741
