assembly	CC_only	CNL	CRK-DUF26	CrRLK1L	CrRLP1L	EGF/WAK-like	G-lectin-RLK	G-lectin-RLP	L-lectin-RLK	L-lectin-RLP	LRR-RLK	LRR-RLP	LysM-RLK	LysM-RLP	MLO	NL	NPR-like	N_only	PR-1	PR-10_BetV1	PR-12_defensin	PR-16_germin	PR-2_glucanase	PR-3_4_chitinase	PR-4_barwin	PR-5_thaumatin	PR-9_peroxidase	RBOH	RNL	RPW8_only	TIR_only	TNL	WAK	WRKY_TF
Zm-Oh7B-REFERENCE-NAM-1.0	13	89	49	22	9	13	66	12	46	9	263	345	10	19	28	11	9	22	16	7	11	38	61	18	5	44	184	12	2	1	3	1	65	134
Zm-P39-REFERENCE-NAM-1.0	16	85	48	22	11	16	66	17	47	7	255	339	9	19	29	18	9	17	17	7	11	41	60	21	5	52	175	13	2	0	3	1	65	135
Zm-PDJ-REFERENCE-HiLo-1.0	23	89	50	21	11	16	72	19	46	8	262	326	9	17	33	27	9	18	17	6	11	44	60	21	4	47	172	13	2	0	3	1	67	136
Zm-PT-REFERENCE-HiLo-1.0	16	87	52	22	10	13	69	12	45	9	256	353	9	19	30	23	9	16	17	8	12	42	59	20	5	44	172	13	2	1	3	1	70	136
Zm-TAB-REFERENCE-HiLo-1.0	17	94	52	22	8	11	67	13	45	7	261	331	10	17	27	16	9	14	17	8	11	46	59	20	5	45	170	15	2	1	3	1	78	135
Zm-Tx303-REFERENCE-NAM-1.0	16	91	46	22	10	13	61	18	46	9	263	330	10	17	31	13	9	14	16	8	11	43	60	18	5	50	172	13	2	0	3	1	62	132
Zm-Tzi8-REFERENCE-NAM-1.0	19	92	50	22	10	12	68	16	47	3	265	352	8	18	25	19	9	19	18	9	15	47	62	19	5	49	176	13	2	1	3	1	68	140
Zm-ZAP-REFERENCE-HiLo-1.0	19	91	50	20	10	13	68	14	46	9	261	333	10	17	31	21	9	16	17	7	10	41	61	18	5	51	175	13	2	0	3	1	62	136
Zn-PI615697-REFERENCE-PanAnd-1.0	23	128	56	25	13	14	79	13	56	9	297	422	9	23	32	46	10	16	23	7	13	58	70	22	5	51	199	13	2	0	4	2	92	151
Zv-TIL01-REFERENCE-PanAnd-1.0	16	101	52	21	10	15	69	12	48	4	259	338	9	17	26	32	9	14	17	9	12	48	63	20	5	49	180	12	2	0	3	1	81	135
Zv-TIL11-REFERENCE-PanAnd-1.0	20	100	49	22	11	15	69	19	47	8	262	347	9	16	27	22	9	15	17	8	10	42	60	21	5	43	173	13	2	0	3	1	71	135
Zx-TIL18-REFERENCE-PanAnd-1.0	11	96	52	21	12	17	71	13	45	5	260	330	10	16	29	18	9	13	17	8	11	42	58	17	5	45	172	14	2	0	3	1	61	139
Zx-TIL25-REFERENCE-PanAnd-1.0	13	85	50	20	9	12	68	19	47	10	258	350	10	18	19	31	9	13	17	6	10	42	62	23	5	49	174	13	2	0	3	1	55	140
