set	file	n_seq	n_gene	n_aa_total	assembly
reference	Zm-CML103-REFERENCE-NAM-1.0__Zm-CML103-REFERENCE-NAM-1.0_Zm00021ab.1.protein.fa.gz	71007	40013	28058999	Zm-CML103-REFERENCE-NAM-1.0
reference	Zm-CML228-REFERENCE-NAM-1.0__Zm-CML228-REFERENCE-NAM-1.0_Zm00022ab.1.protein.fa.gz	56346	41577	20982048	Zm-CML228-REFERENCE-NAM-1.0
reference	Zm-CML247-REFERENCE-NAM-1.0__Zm-CML247-REFERENCE-NAM-1.0_Zm00023ab.1.protein.fa.gz	71424	40383	28353198	Zm-CML247-REFERENCE-NAM-1.0
reference	Zm-CML277-REFERENCE-NAM-1.0__Zm-CML277-REFERENCE-NAM-1.0_Zm00024ab.1.protein.fa.gz	54933	40325	20534296	Zm-CML277-REFERENCE-NAM-1.0
reference	Zm-CML322-REFERENCE-NAM-1.0__Zm-CML322-REFERENCE-NAM-1.0_Zm00025ab.1.protein.fa.gz	72133	41122	28360434	Zm-CML322-REFERENCE-NAM-1.0
reference	Zm-CML333-REFERENCE-NAM-1.0__Zm-CML333-REFERENCE-NAM-1.0_Zm00026ab.1.protein.fa.gz	71057	40428	28015866	Zm-CML333-REFERENCE-NAM-1.0
reference	Zm-CML457-REFERENCE-HiLo-1.0__Zm-CML457-REFERENCE-HiLo-1.0_Zm00106aa.1.protein.fa.gz	65236	40104	23579624	Zm-CML457-REFERENCE-HiLo-1.0
reference	Zm-CML459-REFERENCE-HiLo-1.0__Zm-CML459-REFERENCE-HiLo-1.0_Zm00107aa.1.protein.fa.gz	80512	39298	32516481	Zm-CML459-REFERENCE-HiLo-1.0
reference	Zm-CML52-REFERENCE-NAM-1.0__Zm-CML52-REFERENCE-NAM-1.0_Zm00019ab.1.protein.fa.gz	70952	40473	27924490	Zm-CML52-REFERENCE-NAM-1.0
reference	Zm-CML530-REFERENCE-HiLo-1.0__Zm-CML530-REFERENCE-HiLo-1.0_Zm00108aa.1.protein.fa.gz	83731	42075	34731039	Zm-CML530-REFERENCE-HiLo-1.0
reference	Zm-CML69-REFERENCE-NAM-1.0__Zm-CML69-REFERENCE-NAM-1.0_Zm00020ab.1.protein.fa.gz	71747	40272	27886843	Zm-CML69-REFERENCE-NAM-1.0
reference	Zm-HP301-REFERENCE-NAM-1.0__Zm-HP301-REFERENCE-NAM-1.0_Zm00027ab.1.protein.fa.gz	70886	39785	28130090	Zm-HP301-REFERENCE-NAM-1.0
reference	Zm-Il14H-REFERENCE-NAM-1.0__Zm-Il14H-REFERENCE-NAM-1.0_Zm00028ab.1.protein.fa.gz	71539	40290	28244973	Zm-Il14H-REFERENCE-NAM-1.0
reference	Zm-Ki11-REFERENCE-NAM-1.0__Zm-Ki11-REFERENCE-NAM-1.0_Zm00030ab.1.protein.fa.gz	70337	39868	27876351	Zm-Ki11-REFERENCE-NAM-1.0
reference	Zm-Ki3-REFERENCE-NAM-1.0__Zm-Ki3-REFERENCE-NAM-1.0_Zm00029ab.1.protein.fa.gz	72225	41059	28515359	Zm-Ki3-REFERENCE-NAM-1.0
reference	Zm-Ky21-REFERENCE-NAM-1.0__Zm-Ky21-REFERENCE-NAM-1.0_Zm00031ab.1.protein.fa.gz	72846	40778	28616007	Zm-Ky21-REFERENCE-NAM-1.0
reference	Zm-M162W-REFERENCE-NAM-1.0__Zm-M162W-REFERENCE-NAM-1.0_Zm00033ab.1.protein.fa.gz	72750	41486	28437393	Zm-M162W-REFERENCE-NAM-1.0
reference	Zm-M37W-REFERENCE-NAM-1.0__Zm-M37W-REFERENCE-NAM-1.0_Zm00032ab.1.protein.fa.gz	72362	40905	28406700	Zm-M37W-REFERENCE-NAM-1.0
reference	Zm-Mo18W-REFERENCE-NAM-1.0__Zm-Mo18W-REFERENCE-NAM-1.0_Zm00034ab.1.protein.fa.gz	73048	41204	28557100	Zm-Mo18W-REFERENCE-NAM-1.0
reference	Zm-Ms71-REFERENCE-NAM-1.0__Zm-Ms71-REFERENCE-NAM-1.0_Zm00035ab.1.protein.fa.gz	72927	41247	28648803	Zm-Ms71-REFERENCE-NAM-1.0
reference	Zm-NC350-REFERENCE-NAM-1.0__Zm-NC350-REFERENCE-NAM-1.0_Zm00036ab.1.protein.fa.gz	71620	40484	28302267	Zm-NC350-REFERENCE-NAM-1.0
reference	Zm-NC358-REFERENCE-NAM-1.0__Zm-NC358-REFERENCE-NAM-1.0_Zm00037ab.1.protein.fa.gz	71137	39787	28314498	Zm-NC358-REFERENCE-NAM-1.0
reference	Zm-Oh43-REFERENCE-NAM-1.0__Zm-Oh43-REFERENCE-NAM-1.0_Zm00039ab.1.protein.fa.gz	71367	39973	28333255	Zm-Oh43-REFERENCE-NAM-1.0
reference	Zm-Oh7B-REFERENCE-NAM-1.0__Zm-Oh7B-REFERENCE-NAM-1.0_Zm00038ab.1.protein.fa.gz	71755	40334	28325992	Zm-Oh7B-REFERENCE-NAM-1.0
reference	Zm-P39-REFERENCE-NAM-1.0__Zm-P39-REFERENCE-NAM-1.0_Zm00040ab.1.protein.fa.gz	73162	41478	28506438	Zm-P39-REFERENCE-NAM-1.0
reference	Zm-PDJ-REFERENCE-HiLo-1.0__Zm-PDJ-REFERENCE-HiLo-1.0_Zm00112aa.1.protein.fa.gz	92686	52317	37505436	Zm-PDJ-REFERENCE-HiLo-1.0
reference	Zm-PT-REFERENCE-HiLo-1.0__Zm-PT-REFERENCE-HiLo-1.0_Zm00109aa.1.protein.fa.gz	81102	40357	34222231	Zm-PT-REFERENCE-HiLo-1.0
reference	Zm-TAB-REFERENCE-HiLo-1.0__Zm-TAB-REFERENCE-HiLo-1.0_Zm00111aa.1.protein.fa.gz	89280	48487	36844798	Zm-TAB-REFERENCE-HiLo-1.0
reference	Zm-Tx303-REFERENCE-NAM-1.0__Zm-Tx303-REFERENCE-NAM-1.0_Zm00041ab.1.protein.fa.gz	72716	41164	28474854	Zm-Tx303-REFERENCE-NAM-1.0
reference	Zm-Tzi8-REFERENCE-NAM-1.0__Zm-Tzi8-REFERENCE-NAM-1.0_Zm00042ab.1.protein.fa.gz	73551	41593	28850556	Zm-Tzi8-REFERENCE-NAM-1.0
reference	Zm-ZAP-REFERENCE-HiLo-1.0__Zm-ZAP-REFERENCE-HiLo-1.0_Zm00110aa.1.protein.fa.gz	85977	44482	33228878	Zm-ZAP-REFERENCE-HiLo-1.0
reference	Zn-PI615697-REFERENCE-PanAnd-1.0__Zn-PI615697-REFERENCE-PanAnd-1.0_Zn00001ab.1.protein.fa.gz	97759	62715	34841518	Zn-PI615697-REFERENCE-PanAnd-1.0
reference	Zv-TIL01-REFERENCE-PanAnd-1.0__Zv-TIL01-REFERENCE-PanAnd-1.0_Zv00001ab.1.protein.fa.gz	97407	54839	36003855	Zv-TIL01-REFERENCE-PanAnd-1.0
reference	Zv-TIL11-REFERENCE-PanAnd-1.0__Zv-TIL11-REFERENCE-PanAnd-1.0_Zv00002ab.1.protein.fa.gz	97533	53979	36280639	Zv-TIL11-REFERENCE-PanAnd-1.0
reference	Zx-TIL18-REFERENCE-PanAnd-1.0__Zx-TIL18-REFERENCE-PanAnd-1.0_Zx00002ab.1.protein.fa.gz	91039	52070	33460253	Zx-TIL18-REFERENCE-PanAnd-1.0
reference	Zx-TIL25-REFERENCE-PanAnd-1.0__Zx-TIL25-REFERENCE-PanAnd-1.0_Zx00003ab.1.protein.fa.gz	91339	52432	33454407	Zx-TIL25-REFERENCE-PanAnd-1.0
outgroup	Arabidopsis_thaliana.TAIR10.pep.all.fa.gz	48321	27628	20833192	Arabidopsis_thaliana.TAIR10.pep.all.fa.gz
outgroup	Glycine_max.Glycine_max_v2.1.pep.all.fa.gz	88412	55897	37501059	Glycine_max.Glycine_max_v2.1.pep.all.fa.gz
outgroup	Hordeum_vulgare.MorexV3_pseudomolecules_assembly.pep.all.fa.gz	37961	35825	14987630	Hordeum_vulgare.MorexV3_pseudomolecules_assembly.pep.all.fa.gz
outgroup	Oryza_sativa.IRGSP-1.0.pep.all.fa.gz	42582	35804	14197868	Oryza_sativa.IRGSP-1.0.pep.all.fa.gz
outgroup	Sorghum_bicolor.Sorghum_bicolor_NCBIv3.pep.all.fa.gz	47110	34118	19239594	Sorghum_bicolor.Sorghum_bicolor_NCBIv3.pep.all.fa.gz
outgroup	Triticum_aestivum.IWGSC.pep.all.fa.gz	133346	107545	59091148	Triticum_aestivum.IWGSC.pep.all.fa.gz
