assembly	CC_only	CNL	CRK-DUF26	CrRLK1L	CrRLP1L	EGF/WAK-like	G-lectin-RLK	G-lectin-RLP	L-lectin-RLK	L-lectin-RLP	LRR-RLK	LRR-RLP	LysM-RLK	LysM-RLP	MLO	NL	NPR-like	N_only	PR-1	PR-10_BetV1	PR-12_defensin	PR-16_germin	PR-2_glucanase	PR-3_4_chitinase	PR-4_barwin	PR-5_thaumatin	PR-9_peroxidase	RBOH	RNL	RPW8_only	TIR_only	TNL	WAK	WRKY_TF
Zm-PDJ-REFERENCE-HiLo-1.0	22	86	51	21	14	18	69	18	44	7	264	360	10	16	27	32	9	23	17	7	11	47	60	22	5	57	167	13	2	0	3	1	69	132
Zm-PT-REFERENCE-HiLo-1.0	17	82	45	22	9	15	71	13	43	3	252	326	9	15	20	20	9	12	16	8	10	41	60	20	4	51	157	13	2	0	3	1	60	131
Zm-TAB-REFERENCE-HiLo-1.0	23	98	51	22	10	14	69	14	44	6	265	365	10	16	17	17	9	18	17	8	10	45	60	20	5	52	159	15	2	0	3	1	78	134
Zm-Tx303-REFERENCE-NAM-1.0	16	80	41	22	9	17	59	15	46	5	252	314	9	16	29	14	9	12	17	7	10	38	62	15	5	60	162	12	2	0	3	1	54	125
Zm-Tzi8-REFERENCE-NAM-1.0	14	83	48	20	12	17	67	16	48	4	255	331	9	17	23	22	9	20	18	9	12	47	65	20	5	67	167	13	2	0	3	1	60	134
Zm-ZAP-REFERENCE-HiLo-1.0	33	79	51	22	10	15	62	22	44	6	253	345	10	17	26	13	9	13	17	7	11	40	62	20	5	64	169	14	2	0	3	1	63	132
Zn-PI615697-REFERENCE-PanAnd-1.0	16	112	51	28	13	14	82	10	57	4	302	423	7	24	30	46	10	17	23	7	14	59	72	22	5	49	180	13	2	0	4	2	95	152
Zv-TIL01-REFERENCE-PanAnd-1.0	20	87	49	22	9	16	69	10	45	5	258	347	7	19	28	33	9	19	17	9	12	50	62	19	5	59	160	13	2	0	3	1	76	130
Zv-TIL11-REFERENCE-PanAnd-1.0	20	94	48	24	8	17	72	15	44	4	262	349	7	18	27	25	9	18	17	12	12	45	62	23	5	53	163	13	2	0	3	1	75	131
Zx-TIL18-REFERENCE-PanAnd-1.0	11	94	50	22	12	17	72	12	45	3	260	314	7	19	27	18	9	16	17	8	12	44	60	16	5	52	162	14	2	0	3	1	66	136
Zx-TIL25-REFERENCE-PanAnd-1.0	14	83	49	23	8	16	70	12	45	3	258	353	8	20	23	29	9	22	17	7	12	40	62	22	5	51	164	13	2	0	3	1	61	133
