assembly	Aquaporin	Cell wall / glycoside hydrolase	Chaperone / heat shock	Chromatin / histone	Cytochrome P450	DNA repair / recombination	DNA replication	Glycosyltransferase / UGT	Helicase	Hormone: ABA / PP2C	Hormone: GA / DELLA	Hormone: JA / TIFY	Hormone: auxin	Immunity: LRR (receptor/adaptor)	Immunity: NLR (NBS-LRR)	Immunity: PR / defense protein	Immunity: peroxidase / ROS	Immunity: receptor kinase	PPR (organelle RNA editing)	Protein kinase (catalytic)	RNA binding / processing	TF: AP2/ERF	TF: C2H2 zinc finger	TF: GRAS	TF: MADS-box	TF: MYB	TF: NAC	TF: WRKY	TF: bHLH	TF: bZIP	TF: heat shock factor	TF: homeobox / HD-ZIP	Terpene synthase	Transporter: ABC	Transporter: MFS / sugar / nitrate	Ubiquitin / proteolysis
Zm-CML228-REFERENCE-NAM-1.0	57	823	468	475	330	88	164	422	273	118	74	40	96	738	137	201	184	283	579	1703	797	255	253	96	95	614	193	147	245	132	33	86	57	164	270	2659
Zm-CML247-REFERENCE-NAM-1.0	50	810	467	461	336	88	155	384	258	111	74	42	99	683	125	199	172	285	563	1678	778	253	246	97	79	591	182	142	238	136	35	77	62	161	272	2576
Zm-CML277-REFERENCE-NAM-1.0	51	807	462	456	332	79	142	375	259	113	75	45	84	712	138	186	172	287	539	1628	793	262	247	80	82	586	196	142	243	130	35	83	55	165	270	2557
Zm-CML322-REFERENCE-NAM-1.0	54	804	464	456	344	78	155	360	269	117	74	37	93	681	138	184	180	296	557	1639	783	257	238	81	78	567	189	144	243	142	33	77	49	168	270	2573
Zm-CML333-REFERENCE-NAM-1.0	57	812	469	460	317	82	144	379	269	118	79	36	88	722	146	178	179	295	552	1648	800	252	241	89	84	601	196	140	239	137	34	79	48	163	270	2587
Zm-CML457-REFERENCE-HiLo-1.0	53	750	391	420	349	62	112	405	228	112	87	41	86	631	93	182	170	293	525	1456	656	267	242	86	79	489	190	138	227	127	34	76	43	143	254	2287
Zm-CML459-REFERENCE-HiLo-1.0	49	788	424	448	333	67	147	382	259	117	75	48	90	686	125	196	183	292	546	1558	760	260	260	92	78	554	177	142	238	135	35	81	55	137	256	2552
Zm-CML52-REFERENCE-NAM-1.0	55	857	482	470	346	79	164	400	275	125	73	42	101	729	156	204	180	288	554	1713	799	269	258	88	91	570	195	147	248	140	36	78	66	177	277	2650
Zm-CML530-REFERENCE-HiLo-1.0	54	790	468	457	330	65	139	386	252	117	77	55	94	715	139	207	177	283	557	1560	768	257	268	89	81	566	187	141	236	139	36	76	43	163	267	2601
Zm-CML69-REFERENCE-NAM-1.0	49	815	476	461	320	79	140	380	284	122	71	38	95	701	144	194	180	290	547	1617	782	235	236	85	76	529	184	144	243	142	33	78	57	163	259	2568
Zm-HP301-REFERENCE-NAM-1.0	50	838	469	458	322	75	145	374	255	120	79	46	91	695	127	173	174	275	556	1622	779	252	242	87	78	562	187	144	241	136	33	80	55	157	255	2583
Zm-Il14H-REFERENCE-NAM-1.0	51	806	457	473	347	79	143	373	246	120	77	36	93	705	137	197	175	280	538	1587	780	260	243	78	82	562	187	144	247	132	33	75	68	168	260	2569
Zm-Ki11-REFERENCE-NAM-1.0	53	832	476	479	320	82	173	373	265	118	74	45	95	710	135	196	172	285	555	1623	767	243	253	85	88	566	194	142	247	137	35	70	54	159	263	2569
Zm-Ki3-REFERENCE-NAM-1.0	51	814	458	455	336	82	153	388	265	120	72	49	90	705	144	193	179	287	549	1658	761	255	246	87	85	608	182	140	240	137	35	77	47	154	266	2600
Zm-Ky21-REFERENCE-NAM-1.0	49	816	461	458	315	79	144	378	254	120	72	49	93	706	139	179	170	289	566	1654	779	261	249	92	82	566	185	138	246	139	36	76	52	158	262	2578
Zm-M162W-REFERENCE-NAM-1.0	55	826	476	445	326	83	162	375	267	117	78	40	89	703	137	196	177	271	550	1603	779	248	256	87	79	566	198	147	249	138	33	73	55	157	265	2577
Zm-M37W-REFERENCE-NAM-1.0	48	821	460	464	340	76	174	376	268	112	77	44	92	734	157	196	173	289	562	1661	775	250	256	91	80	571	194	139	245	133	35	83	50	158	266	2600
Zm-Mo18W-REFERENCE-NAM-1.0	50	829	471	459	322	78	165	376	262	115	74	35	90	684	128	188	173	288	567	1637	786	251	250	81	85	567	192	144	247	139	35	78	55	159	271	2560
Zm-Ms71-REFERENCE-NAM-1.0	51	843	464	482	330	79	152	381	261	120	75	45	92	700	135	197	181	276	582	1614	775	251	248	92	82	583	186	143	248	142	32	83	55	175	268	2646
Zm-NC350-REFERENCE-NAM-1.0	51	819	473	459	340	79	143	371	251	119	79	50	105	707	152	179	175	268	547	1631	783	250	260	86	91	563	189	143	250	138	34	79	60	160	269	2583
Zm-NC358-REFERENCE-NAM-1.0	49	822	456	485	324	78	150	382	251	112	78	43	91	704	145	183	176	273	558	1641	792	252	244	91	82	567	187	147	243	145	35	77	53	158	258	2595
Zm-Oh43-REFERENCE-NAM-1.0	56	820	457	468	320	92	160	388	265	117	75	52	102	725	144	186	174	270	546	1595	795	254	259	92	82	549	187	143	241	141	35	77	52	152	273	2569
Zm-Oh7B-REFERENCE-NAM-1.0	53	810	469	487	333	78	153	374	258	129	76	41	98	696	138	182	177	289	570	1640	779	252	236	81	89	572	184	141	240	142	31	77	46	166	280	2558
Zm-P39-REFERENCE-NAM-1.0	56	813	475	471	347	84	155	375	245	117	73	47	91	700	137	183	170	286	539	1648	801	264	239	77	82	583	188	142	238	131	32	78	52	175	263	2585
Zm-PDJ-REFERENCE-HiLo-1.0	54	819	482	467	340	68	148	381	638	123	89	47	98	758	164	199	178	304	591	1603	768	258	279	97	88	576	174	146	245	149	35	74	45	142	276	2627
Zm-PT-REFERENCE-HiLo-1.0	56	759	434	449	314	67	133	374	507	120	77	49	83	696	136	189	168	287	556	1544	737	264	260	82	77	535	182	144	230	142	34	76	47	140	255	2520
Zm-TAB-REFERENCE-HiLo-1.0	55	771	417	450	349	71	149	402	617	119	81	45	105	758	162	195	176	308	588	1598	743	249	285	90	86	564	194	148	237	146	35	79	55	137	250	2542
Zm-Tx303-REFERENCE-NAM-1.0	58	824	496	456	329	84	160	388	274	118	79	42	92	675	132	186	170	272	571	1636	781	249	254	85	82	583	196	137	242	140	36	75	47	156	274	2600
Zm-Tzi8-REFERENCE-NAM-1.0	57	853	490	472	343	86	152	379	275	125	74	40	89	701	144	215	179	304	583	1669	795	255	251	74	83	573	183	147	252	143	33	79	53	159	282	2616
Zm-ZAP-REFERENCE-HiLo-1.0	65	803	433	468	334	65	155	387	260	123	75	47	95	705	125	195	173	300	571	1608	762	287	266	94	83	558	183	144	251	144	35	82	49	144	272	2657
Zn-PI615697-REFERENCE-PanAnd-1.0	60	1037	566	580	379	101	274	454	394	146	97	48	100	909	208	222	193	376	713	1967	993	310	317	100	111	829	237	168	279	162	36	91	64	194	307	3207
Zv-TIL01-REFERENCE-PanAnd-1.0	54	887	489	499	325	81	239	402	328	130	81	45	89	749	166	210	173	316	625	1752	883	271	274	98	95	724	214	144	259	138	35	80	52	160	273	2818
Zv-TIL11-REFERENCE-PanAnd-1.0	46	887	482	499	338	83	220	385	325	128	78	48	85	762	164	198	179	316	624	1711	882	272	278	97	82	720	210	146	262	140	33	86	56	169	271	2753
Zx-TIL18-REFERENCE-PanAnd-1.0	52	862	467	482	338	74	200	401	331	140	74	50	83	706	149	197	178	303	616	1682	853	281	273	92	89	723	207	150	269	139	34	81	58	154	262	2777
Zx-TIL25-REFERENCE-PanAnd-1.0	47	848	466	497	337	78	223	390	323	126	86	49	88	745	162	184	179	293	587	1660	864	263	275	85	87	701	216	150	264	143	34	79	52	157	265	2733
